REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"Rename Method,","Allow encrypted passwords in configuration files Storing passwords in plaintext in configuration files is not a security best practice. While file access can be restricted through OS permissions, these configuration files can be accidentally checked into source control, shared or deployed to multiple instances, etc. 

NiFi should allow a deployer to provide an encrypted password in the configuration file to minimize exposure of the passwords. On application start-up, NiFi should decrypt the passwords in memory. NiFi should also include a utility to encrypt the raw passwords (and optionally populate the configuration files and provide additional metadata in the configuration files). 

I am aware this simply shifts the responsibility/delegation of trust from the passwords in the properties file to a new location on the same system, but mitigating the visibility of the raw passwords in the properties file can be one step in a defense in depth approach and is often mandated by security policies within organizations using NiFi. 

The key used for encryption should not be hard-coded into the application source code, nor should it be universally consistent. The key could be determined by reading static information from the deployed system and feeding it to a key derivation function based on a cryptographically-secure hash function, such as PBKDF2, bcrypt, or scrypt. However, this does introduce upgrade, system migration, and portability issues. These challenges will have to be kept in consideration when determining the key derivation process. 

Manual key entry is a possibility, and then the master key would only be present in memory, but this prevents automatic reboot on loss of power or other recovery scenario. 

This must be backward-compatible to allow systems with plaintext passwords to continue operating. Options for achieving this are to only attempt to decrypt passwords when a sibling property is present, or to match a specific format. 

For these examples, I have used the following default values:

{code}
password: thisIsABadPassword
key: 0123456789ABCDEFFEDCBA98765432100123456789ABCDEFFEDCBA9876543210
iv: 0123456789ABCDEFFEDCBA9876543210
algorithm: AES/CBC 256-bit
{code}

**Note: These values should not be used in production systems -- the key and IV are common test values, and an AEAD cipher is preferable to provide cipher text integrity assurances, however OpenSSL does not support the use of AEAD ciphers for command-line encryption at this time**

Example 1: *here the sibling property indicates the password is encrypted and with which implementation; the absence of the property would default to a raw password*

{code}
hw12203:/Users/alopresto/Workspace/scratch/encrypted-passwords (master) alopresto
🔓 0s @ 16:25:56 $ echo ""thisIsABadPassword"" > password.txt
hw12203:/Users/alopresto/Workspace/scratch/encrypted-passwords (master) alopresto
🔓 0s @ 16:26:47 $ ossl aes-256-cbc -e -nosalt -p -K 0123456789ABCDEFFEDCBA98765432100123456789ABCDEFFEDCBA9876543210 -iv 0123456789ABCDEFFEDCBA9876543210 -a -in password.txt -out password.enc
key=0123456789ABCDEFFEDCBA98765432100123456789ABCDEFFEDCBA9876543210
iv =0123456789ABCDEFFEDCBA9876543210
hw12203:/Users/alopresto/Workspace/scratch/encrypted-passwords (master) alopresto
🔓 0s @ 16:27:09 $ xxd password.enc
0000000: 5643 5856 6146 6250 4158 364f 5743 7646 VCXVaFbPAX6OWCvF
0000010: 6963 6b76 4a63 7744 3854 6b67 3731 4c76 ickvJcwD8Tkg71Lv
0000020: 4d38 6d32 7952 4776 5739 413d 0a M8m2yRGvW9A=.
hw12203:/Users/alopresto/Workspace/scratch/encrypted-passwords (master) alopresto
🔓 0s @ 16:27:16 $ more password.enc
VCXVaFbPAX6OWCvFickvJcwD8Tkg71LvM8m2yRGvW9A=
hw12203:/Users/alopresto/Workspace/scratch/encrypted-passwords (master) alopresto
🔓 0s @ 16:27:55 $
{code}

In {{nifi.properties}}: 
{code}
nifi.security.keystorePasswd=VCXVaFbPAX6OWCvFickvJcwD8Tkg71LvM8m2yRGvW9A=
nifi.security.keystorePasswd.encrypted=AES-CBC-256
{code}

Example 2: *here the encrypted password has a header tag indicating both that it is encrypted and the algorithm used*

{code:java}
@Test
public void testShouldDecryptPassword() throws Exception {
// Arrange
KeyedCipherProvider cipherProvider = new AESKeyedCipherProvider()

final String PLAINTEXT = ""thisIsABadPassword""
logger.info(""Expected: ${Hex.encodeHexString(PLAINTEXT.bytes)}"")

final byte[] IV = Hex.decodeHex(""0123456789ABCDEFFEDCBA9876543210"" as char[])
final byte[] LOCAL_KEY = Hex.decodeHex(""0123456789ABCDEFFEDCBA9876543210"" * 2 as char[])
// Generated via openssl enc -a
final String CIPHER_TEXT = ""VCXVaFbPAX6OWCvFickvJcwD8Tkg71LvM8m2yRGvW9A=""
byte[] cipherBytes = Base64.decoder.decode(CIPHER_TEXT)

SecretKey localKey = new SecretKeySpec(LOCAL_KEY, ""AES"")

EncryptionMethod encryptionMethod = EncryptionMethod.AES_CBC
logger.info(""Using algorithm: ${encryptionMethod.getAlgorithm()}"")
logger.info(""Cipher text: \$nifipw\$${CIPHER_TEXT} ${cipherBytes.length + 8}"")

// Act
Cipher cipher = cipherProvider.getCipher(encryptionMethod, localKey, IV, false)
byte[] recoveredBytes = cipher.doFinal(cipherBytes)

// OpenSSL adds a newline character during encryption
String recovered = new String(recoveredBytes, ""UTF-8"").trim()
logger.info(""Recovered: ${recovered} ${Hex.encodeHexString(recoveredBytes)}"")

// Assert
assert PLAINTEXT.equals(recovered)
}
{code}

In {{nifi.properties}}: 
{code}
nifi.security.keystorePasswd=$nifipw$VCXVaFbPAX6OWCvFickvJcwD8Tkg71LvM8m2yRGvW9A=
{code}

Ideally, NiFi would use a pluggable implementation architecture to allow users to integrate with a variety of secret management services. There are both commercial and open source solutions, including CyberArk Enterprise Password Vault [1], Hashicorp Vault [2], and Square Keywhiz [3]. In the future, this could also be extended to Hardware Security Modules (HSM) like SafeNet Luna [4] and Amazon CloudHSM [5]. 

[1] http://www.cyberark.com/products/privileged-account-security-solution/enterprise-password-vault/
[2] https://www.vaultproject.io/
[3] https://square.github.io/keywhiz/
[4] http://www.safenet-inc.com/data-encryption/hardware-security-modules-hsms/luna-hsms-key-management/luna-sa-network-hsm/
[5] https://aws.amazon.com/cloudhsm/",", "
"Move Class,Rename Class,","Add support for Azure Blob Storage and Table Storage It would be useful to have an Azure equivalent of the current S3 capability. Azure also provides a Table storage mechanism, providing simple key value storage. Since the Azure SDKs are Apache Licensed, this should be reasonably straightforward. A first cut is available as an addition to the existing azure bundle.",", "
"Extract Superclass,Move Method,Extract Method,Move Attribute,",Create PutTCP Processor Create a PutTCP Processor to send FlowFile content over a TCP connection to a TCP server.,"Duplicated Code, Long Method, , , , Duplicated Code, Large Class, "
"Rename Class,Move And Rename Class,Rename Method,Extract Method,","JSON-to-JSON Schema Converter Editor With NIFI-361 implemented, users can embed a JOLT spec into the TransformJSON processor. However, building the spec is not intuitive enough without the ability to obtain real time feedback on spec syntax and preview output data. Would like to have a specification editor and transform preview view added to the processor configuration screen to allow users to immediately see the impact on the output JSON data.","Duplicated Code, Long Method, , "
"Move Class,Move And Rename Class,Extract Superclass,Extract Interface,Pull Up Method,Move Method,Extract Method,Pull Up Attribute,Move Attribute,","Support HTTP(S) as a transport mechanism for Site-to-Site We should add support for using HTTP(S) for site-to-site to be an alternative to the current socket based approach.

This would support the same push based or pull based approach site-to-site offers now but it would use HTTP(S) for all interactions to include learning about ports, learning about NCM topology, and actually exchanging data. This mechanism should also support interaction via an HTTP proxy.

This would also require some UI work to allow the user to specify which protocol for site-to-site to use such as 'raw' vs 'http'. We also need to document any limitations with regard to SSL support for this mode and we'd need to provide 'how-to' when using proxies like http_proxy or something else.","Duplicated Code, Long Method, , , , Duplicated Code, Large Class, Duplicated Code, Large Class, Duplicated Code, "
"Move Class,Move Method,Extract Method,Move Attribute,","Add support for Hive Streaming Traditionally adding new data into Hive requires gathering a large amount of data onto HDFS and then periodically adding a new partition. This is essentially a “batch insertion”. Insertion of new data into an existing partition is not permitted. Hive Streaming API allows data to be pumped continuously into Hive. The incoming data can be continuously committed in small batches of records into an existing Hive partition or table. Once data is committed it becomes immediately visible to all Hive queries initiated subsequently.

This case is to add a PutHiveStreaming processor to NiFi, to leverage the Hive Streaming API to allow continuous streaming of data into a Hive partition/table.","Duplicated Code, Long Method, , , , "
"Push Down Method,Push Down Attribute,","Add Elasticsearch processors that use the REST API The current Elasticsearch processors use the Transport Client, and as a result there can be some compatibility issues between multiple versions of ES clusters. The REST API is much more standard between versions, so it would be nice to have ES processors that use the REST API, to enable things like migration from an Elasticsearch cluster with an older version to a cluster with a newer version.",", , , "
"Move Method,Move Attribute,","Move Controller level bulletins out of Controller Status Controller level bulletins need to be removed from the controller status endpoint and into some endpoint that is accessed through the Controller resource for authorization consistency.

All status requests are authorized under the flow but the bulletins are more sensitive.",", , , "
"Rename Method,Extract Method,","Convert Azure Event Hub Processors to use correct Azure Event Hub client library Currently NiFi uses the Event Hub client found here: https://github.com/hdinsight/eventhubs-client/ however, it should use the client library found here: https://github.com/Azure/azure-event-hubs/tree/master/java

The Azure Event Hub client targets JDK 1.8 and therefore, the resolution of this JIRA is only applicable to NiFi 1.0.0 or later.","Duplicated Code, Long Method, , "
"Rename Method,Extract Method,","Decouple users/user groups and policies Currently, users, user groups, and policies are all persisted in the same file. Because the policies are associated with a particular NiFi instance it makes this file not portable. However, the users and user groups configuration is completely independent of a particular instance and should be persisted in a separate file to promote portable of this configuration between NiFi instances.","Duplicated Code, Long Method, , "
"Pull Up Attribute,Push Down Attribute,",New processor GetIgniteCache for getting values from Apache Ignite New component for getting value from Ignite Cache,", , Duplicated Code, "
"Rename Class,Rename Method,","Allow for configuration of Controller Services and Reporting Tasks in UI Currently, Controller Services and Reporting Tasks are specified in configuration files where NiFi is installed. We need to make this configuration more accessible by moving into the UI and not requiring a restart of the application.",", "
"Rename Method,","Allow for configuration of Controller Services and Reporting Tasks in UI Currently, Controller Services and Reporting Tasks are specified in configuration files where NiFi is installed. We need to make this configuration more accessible by moving into the UI and not requiring a restart of the application.",", "
